did	duration_shape	duration_rate	gap_xi	gap_sigma	gap_mu
did:plc:2oajdd4g674pgdu2xivd745h	0.6816009460612	0.00271134189120868	0.7068797432546454	635.536264045836	0.0
did:plc:2odoyu7cw762c2yqgel6tmmg	0.610916831505277	0.00353347305004194	0.6270502774994136	1030.59758191086	0.0
did:plc:2ofhl2jbcnnfiaonndchife2	0.72520435641964	0.00262068167316042	0.8680231660380646	1037.4485939354286	0.0
did:plc:2oicvu62inu4lhoryixr3ea2	0.51597992329474	0.00380971773052924	1.1078011098470155	1122.102915383554	0.0
did:plc:2oj4hbjrnhjrgjoo2ktq3dfi	0.78835649537616	0.00336542618502378	1.356491349014779	568.4239419067113	0.0
did:plc:2olwafeczgj4j37eu7sxt443	0.707894485901014	0.00293527936481158	0.9165295119203505	680.7491112824345	0.0
did:plc:2oo62vytls2nefcklga3yjhd	0.690250110422208	0.0021533948825644	0.7455331266116416	2476.6644565666106	0.0
did:plc:2p4ed2zqnxba6bxyyd3j3gxi	0.722122283838645	0.00620338888742202	0.9670676404465708	1406.3745721035757	0.0
did:plc:2pc2xqohlfn6tqp33lm4ghux	1.81478635965691	0.00697190354755751	2.0241329503722163	371.95477375900424	0.0
did:plc:2pdciaap7vjtexoy63mw2puo	0.823714158447875	0.00446771397874636	0.828842908377201	1408.0755728635347	0.0
did:plc:2pfxirxozabwgvaglpkpnoy7	1.26581388643956	0.00402795723644618	0.550985731405986	2426.94961897195	0.0
did:plc:2pgtwljfhd4h3epuubjwhq25	0.645400326432841	0.00388270991298266	0.7210603665793768	1167.9940320489163	0.0
did:plc:2pl4dbjpuplfrqyygkmxbrzj	0.517297665417647	0.00417770287679825	0.8641545066606384	1263.357935686527	0.0
did:plc:2psxevygoosimlrhiz65yrs3	0.761044613759546	0.0122175900714827	0.484564244702419	3471.98778463236	0.0
did:plc:2pv3u74wolveizhq4gz5vjrn	0.4971811314209	0.00226611126056345	0.7058994125831877	1189.1248698217703	0.0
did:plc:2q4uaj4octr2bg7h2nqkvzp4	0.736768633815602	0.0034632582302367	0.6931164185850355	2012.5869905276472	0.0
did:plc:2qcbpvgv6ednco6adxbohe7h	0.664841446978829	0.00472320020722784	0.7651405005876728	1867.3341200149348	0.0
did:plc:2qcwo66qap2dzsahsrgdkfpi	0.533220646882548	0.00355279021893313	0.7976427041154024	2520.6616164988886	0.0
did:plc:2qldtbcfnk7fdd3v6ueuvqu5	0.495999605669648	0.00229246965748373	0.991960090474334	827.7607339880059	0.0
did:plc:2qndrge6zahqjz7m22vwnc5t	0.418006514557257	0.00277113086625059	0.6750045685160059	1422.8002016867426	0.0
did:plc:2qt353olm3eulykhidvajv7h	0.698139400852495	0.00215189721740743	1.074080020292535	538.6004247271891	0.0
did:plc:2qxt2g6ywzoqdvo3uocnkyaq	1.5367120763709	0.00683933317465722	0.904150607766593	1142.7201083091295	0.0
did:plc:2qyzeuxbvtcxxqugk3iauhlm	0.714878541649901	0.00242849971410046	0.6236939517961787	507.14360033306497	0.0
did:plc:2rbzxqmytflqrziv2qmwkdhd	0.525904946029412	0.00218650461813803	0.8449572890580019	946.2929443578668	0.0
did:plc:2rspetf5rls53hvxj52jnsaa	0.692449906771211	0.0048666378247733	0.8160192620162632	1565.1233546731266	0.0
did:plc:2rxd6mwmfqazh5wji2skl3uu	0.581478137511027	0.00349841802701141	0.6090345745328102	1404.494061695845	0.0
did:plc:2ry2bwqk77fgsyygcxwtejqh	0.699942780925475	0.00441270550824652	0.9105680399199916	1165.6538885091836	0.0
did:plc:2rzitp7efk47tbbjbxzfoysi	0.604801049147295	0.00310881806537121	0.9920039489275428	909.4830319567517	0.0
did:plc:2s22jdmilbvbbxiic3aenrqw	0.764213504871362	0.0035244262514679	0.8474573875987893	480.0791427897603	0.0
did:plc:2shpw4spqonwdnmmtck3flex	0.725745067071361	0.00501470033298875	0.7582542805160215	1596.0356746029727	0.0
did:plc:2sidns5sb4psqgiobitewfsa	0.751441084390599	0.00317771062442444	0.7303764720679404	636.6142551598568	0.0
did:plc:2sikgwgc3hsvzveigaok5wno	0.80707241708333	0.00200425277871812	1.119365011971346	300.48303961275906	0.0
did:plc:2sjdpbdhp5tmibda7ef2yufv	0.507356955331924	0.00477229968187654	0.49475171185606603	2054.6604643802375	0.0
did:plc:2svdkoxt7fqhyguqz4kr3pdy	0.858327420560147	0.00416107688802457	0.7792208911485923	702.3091135306634	0.0
