did	duration_rate	gap_meanlog	gap_sdlog
did:plc:2c3mrmk7efhfogadjrc6udvz	0.00877192982782336	7.8436725834418	1.59944059330372
did:plc:2c4hmyxdfk4aky3jeoulhog5	0.00289667773361614	6.70628245113736	1.84165656296329
did:plc:2c6hskxiekpu7jp33wjn6apb	0.00284715931166885	6.86181098892464	2.38919739845425
did:plc:2c76flblvziomhuvn65t74ux	0.00722118213543432	6.69450481384944	1.8025094297483
did:plc:2cbebonegkqtduduxhutpzmf	0.00430666419179846	6.93838580849063	1.84180934752226
did:plc:2cetwt537xomcs2goweogvzj	0.00409836065600105	7.40506725545685	2.25465901364557
did:plc:2cg62gq4p3u45xlcledoifa5	0.00497426109159471	6.86710487856877	1.92209109488437
did:plc:2chqmj4m5vh3gh6k55ub4dju	0.00464342036185813	7.38681251202582	2.07111590390108
did:plc:2cjkbm2doxmttievrmmdusry	0.00263640531887028	7.65904804277393	2.03215997859784
did:plc:2clljmp7zdeokqu2fncgdb6u	0.00341326545416757	6.63215429625622	1.82542977937208
did:plc:2cm53lelw7owye5xu27wwswy	0.00681818181957831	7.32498690638058	1.68241308826105
did:plc:2cnoqiemgk7hewmfi6dtfuc5	0.00331934003719964	6.60090209252207	1.95248024965371
did:plc:2cofaw62hwbbemyhrlzpyxon	0.00589802131114717	9.29196666386584	0.976980914444799
did:plc:2coluj5ioxfjjzgdyjzj5pfy	0.00880011175068132	7.36189405878684	1.72807942586939
did:plc:2cp5at3h2cg7utlmiawmkcv4	0.00394689630456554	6.63061258704252	2.34830307897933
did:plc:2cpig5nzxtllecyfju7gcu5b	0.00406391428862346	6.9868498131032	2.30658117196948
did:plc:2cqgeyqbliclm4fpwep6bh5a	0.00437317784364444	7.37110468395051	2.22705002485099
did:plc:2ctatjrtj55hxwjirv2zaevq	0.00289269730378904	7.18065509316813	2.00671445792786
did:plc:2cuekvetitnxmijbtxi3c7gv	0.00257798401654403	6.72999256505361	2.22749058251194
did:plc:2cukqsoyj4c4rk6mfk6ygt2w	0.00569886023035962	6.93872943391219	2.32134164856653
did:plc:2cwttecabqaubcbtidsxmz6o	0.0051034610751835	7.40320893756389	1.77341656203607
did:plc:2cxl3p2xqavj4jvi23xxdcyh	0.00386996904056189	7.4400058143105	2.16737271187556
did:plc:2cxzde6bqih7eduycirktgyi	0.00545712260862816	6.81064436083013	1.8956411985935
did:plc:2cym33ha42gakibxstrgccls	0.00823723229389405	7.14128500727714	1.92671547379077
did:plc:2czagn2rvq4kwjmjcaxwg527	0.00618145563498006	8.60390184636471	1.68789894822022
did:plc:2d4k23wpqdool7w454fepnkp	0.00257638057569693	6.98760577541512	1.97644839619566
did:plc:2d4p6njuqfq7z7oklkswzvpg	0.00482876929998978	7.15770876306019	1.77675546651398
did:plc:2d4w4lo6t6bphanqa7mordgd	0.0053810102418503	7.59723122747831	2.23820566113196
did:plc:2d6um4u2xex4xafphqodh7vc	0.00328659071000791	6.56514094473157	2.02745800551287
did:plc:2d7ctkxel6gz7omzkchyuzcz	0.00335168781431886	6.53333418398693	2.02184556493958
did:plc:2d7vltbdr6afh4sferrjkxhc	0.008089539011257	7.13053665886734	1.64646441428223
did:plc:2dbmwvxvittrfxhgw2fbt643	0.00449170409852812	6.58089872699488	1.79390294620909
did:plc:2ddmxspncdpznfkzmj3rkomc	0.00426970290100095	7.28020502546898	2.1413584893757
did:plc:2de62ktvc6tise4w22dbzvg3	0.00276703678757859	6.47649993303134	1.75559924218555
did:plc:2dep4ilvvgzqi3qemm66xf6o	0.0036724460613179	6.62233573630311	1.82984029350471
did:plc:2dg6vru4p5qhjnqsvtlgt3us	0.00393551805070326	7.29451509368938	1.78254692510382
did:plc:2dmqzv7a5a7pxade4kt2y5xe	0.00619608796201659	7.58939854693498	1.90650102036036
did:plc:2dnjyg3c3h42qxx6wxsvk447	0.00532985905542796	7.33757434971335	1.74014467640957
did:plc:2dny42ds6ebgtow35fsh472w	0.0056190125281366	7.51357895025985	1.5479296736892
did:plc:2doljfz4pd5x6iumfdrt4fk6	0.00450824534365368	7.55518383173814	2.10579471186007
did:plc:2dqwz44i6zbp2gw4kejc3yla	0.00484900564772987	7.16157473470287	1.78159784282544
did:plc:2drpnvksvyopkv4n5xgelnol	0.0047046523793258	6.95281207038299	2.0248806803237
did:plc:2duwmxl4feberqaikghyrkjw	0.00227904890091938	6.48322080148076	1.9511745143533
did:plc:2dvc2d4wuyckfr2k5pco77mh	0.00310989419611494	6.86662473775554	1.89056906110466
