did	duration_xi	duration_sigma	duration_mu	gap_shape	gap_scale
did:plc:22vhkfhbcw2yzec7mq5sudnn	-0.401924064458975	542.484052020349	0.0	0.522849587210268	8753.81940703075
did:plc:22vjxxpzorhmartq3m54xaek	-0.340264024730574	602.237326431108	0.0	0.48774987829936	6291.6205965027
did:plc:22vrwmyzbd5hihyqbudwgpej	-0.410065090983558	322.076692047738	0.0	0.81849106022642	8554.26206922501
did:plc:22wnriwhinulo4aotzbjwfe5	1.9539744011738032	13.677820808216621	7.0	0.575407328138719	5215.67873354248
did:plc:22zpyaz76avfertprxvl5whi	2.3698074901578674	2.3698074901578674	1.0	0.65470142250773	9266.18833273877
did:plc:232qwdlt6moytpzugjfwbd46	1.958694549373228	1.958694549373228	1.0	0.553404020094695	9277.4438863076
did:plc:233luksta3siwhmstcbjl6ce	0.5084691066792805	166.39630680410903	0.0	0.636389418456662	2516.47411127108
did:plc:233vxz7hv2et3d5iu6eh2iaw	-0.39305483980921	325.288048066215	0.0	0.633056364662457	8640.3400374791
did:plc:23623h2h57m5xwmskgbzelab	1.9264937012751835	3.852987402550367	2.0	0.68725444051206	6109.48610651584
did:plc:237abu4izghpdlibnfbij6yv	-0.278863175017716	522.203917507416	0.0	0.570743346082588	11427.7754067647
did:plc:23av2he2wkvps4wevkkcp7pw	-0.522597096060886	386.584100606737	0.0	0.567805581352615	8536.34982863555
did:plc:23bb5ltye4g5mx2uwm2423zn	-0.323269994200614	211.150552608081	0.0	0.75551639121179	9394.8402112811
did:plc:23begnb5qheeekgqwehpl2va	0.23346878360373	400.81711922675	0.0	0.629884863362387	6816.00646854646
did:plc:23er2ijtw767jl4xwp5qkfdh	-0.228779482518526	437.038260292918	0.0	0.711763428558767	3474.34620082554
did:plc:23gujdavcuxdj42eh7jfs6ad	0.2573093295278777	181.92108304183708	0.0	0.744547062433687	6458.50831057409
did:plc:23hm7exgnfrpkq3juyz6trzb	-0.368933923732156	159.416025938902	0.0	0.657667336879253	4142.42102241676
did:plc:23ht5msirg6bllnapdzybg3o	2.0075845702655446	2.0075845702655446	1.0	0.719090014540372	9685.65479741404
did:plc:23k3zjcakmf5q2lh2p6u23sa	-0.353115491643214	242.323347133882	0.0	0.546004429832011	4984.79415731018
did:plc:23rza7oznmtuibcbeog46wkb	2.4347792073913457	4.869558414782691	2.0	0.911294610665438	15792.1424943198
did:plc:23tp2absy25shkaoxiqk4zkm	-0.0924641380499986	818.138832733064	0.0	0.529509516640931	5081.73710826401
did:plc:23udat7mme2w2iffmnfrwlk5	2.6902578026242945	2.6902578026242945	1.0	0.795728987367305	9392.65777321308
did:plc:23vg5r2pdxfpvu442gxkn7fa	-0.313113077259416	518.320420384046	0.0	0.579046130112349	5760.86562804981
did:plc:242e25wkrvfw3lidlvj6zqsk	0.29554027522427306	122.03548160305695	0.0	0.649414149984	3552.6269139554
did:plc:243axqtp74yyvaw4sviqknpg	-0.375144484614092	252.975231774725	0.0	0.617509162786476	9775.18727406292
did:plc:246fiq5wiubjrlqbjra35ixz	2.119251568633353	2.119251568633353	1.0	0.588476600623598	6943.54666223668
did:plc:24b3ypggztum7k5ewtffvbsa	-0.230555977203907	254.038265211914	0.0	0.640371147887155	4627.48193411905
did:plc:24e3o7fqxhjvylqih3jxduke	-0.611487138064698	376.623485178024	0.0	0.781191584782385	11159.4777017338
did:plc:24ejea66n42s3m5wbpl2khd3	-0.491283722435805	505.114823152362	0.0	0.723634132605667	12568.8523995869
did:plc:24erhlyi3b72ml5cj3c2edd4	-0.26601553943217	886.97939080103	0.0	0.594853373413275	12781.7453265663
did:plc:24f4k6kobqn6depmy5we7y25	1.9073345144399265	1.9073345144399265	1.0	0.89955203157423	15662.8190591388
did:plc:24fspheyms5hu4bufbw642ca	1.4021109336109603	2.8042218672219206	2.0	0.68687309073407	9604.62803156064
did:plc:24hp5eryob23lrcctvlyj4xt	0.260212900460218	151.587867508145	0.0	0.691824163131057	3540.01908867442
did:plc:24i7wfsmyusbjimkplb4runx	0.503579778243377	75.6242608524089	0.0	0.695130239142332	6648.9722311485
did:plc:24ivg7spm4ud2fu757ci7dpm	-0.31580686415559	638.628264263411	0.0	0.722306394082539	8021.17171444568
did:plc:24ixj2l4askqph36y25s2ttm	-0.0293836290406699	721.820643530365	0.0	0.64698452773995	7914.76071241545
did:plc:24k6txn2b4qm63wqila7uyw6	2.534049038254795	2.534049038254795	1.0	0.769734868109562	6156.61836487521
did:plc:24klrcodytgseb2v242uecs2	-0.279474909310927	217.855708684317	0.0	0.790821029584999	8808.08568082378
did:plc:24nrrmsbpsgejvuvzhnppopt	3.3577902786541833	3.3577902786541833	1.0	0.565098849198824	5257.57838732247
did:plc:24p4v3tihueyxsfgavyzlhlk	0.25994612461918765	226.20894936207847	0.0	0.720312730336641	5214.77380547139
